centre,display,cda,type,jul_counting,jul_clcp,jul_fleet,jul_total,jul_target,aug_counting,aug_clcp,aug_fleet,aug_total,aug_target,sep_counting,sep_clcp,sep_fleet,sep_total,sep_target,total_counting,total_fleet,total_regs,qtr_target,to_go,per_week,regs_v_target
Bolton,Bolton,North CDA,centre,0,0,0,0,24,0,0,0,0,12,0,0,0,0,69,0,0,0,105,105,8,0.0
Bury,Bury,North CDA,centre,0,0,0,0,19,0,0,0,0,11,0,0,0,0,47,0,0,0,77,77,6,0.0
Rochdale,Rochdale,North CDA,centre,0,0,0,0,19,0,0,0,0,11,0,0,0,0,55,0,0,0,85,85,7,0.0
SQ,Salford Quays,North CDA,centre,0,0,0,0,32,0,0,0,0,18,0,0,0,0,90,0,0,0,140,140,11,0.0
NORTH CDA,NORTH CDA,North CDA,cda,0,0,0,0,94,0,0,0,0,52,0,0,0,0,261,0,0,0,407,407,32,0.0
Bradford,Bradford,WY CDA,centre,0,0,0,0,22,0,0,0,0,13,0,0,0,0,70,0,0,0,105,105,8,0.0
Huddersfield,Huddersfield,WY CDA,centre,0,0,0,0,23,0,0,0,0,13,0,0,0,0,72,0,0,0,108,108,9,0.0
Silsden,Silsden,WY CDA,centre,0,0,0,0,8,0,0,0,0,3,0,0,0,0,23,0,0,0,34,34,3,0.0
WY CDA,WY CDA,WY CDA,cda,0,0,0,0,53,0,0,0,0,29,0,0,0,0,165,0,0,0,247,247,20,0.0
GROUP TOTAL,Group Total,Group,total,,,,0,147,,,,0,81,,,,0,426,0,0,0,654,654,52,0.0
